word_id	yomi	all	all(wiki)	all(gpt)	train	train(wiki)	train(gpt)	val	val(wiki)	val(gpt)	test	test(wiki)	test(gpt)
20_hiraku	ヒラク	90	90	0	72	72	0	9	9	0	9	9	0
20_hiraku	アク	10	10	0	8	8	0	1	1	0	1	1	0
21_omote	ヒョウ	79	79	0	64	64	0	8	8	0	7	7	0
21_omote	オモテ	21	21	0	16	16	0	2	2	0	3	3	0
22_kado	カク	52	52	0	43	43	0	5	5	0	4	4	0
22_kado	ツノ	31	31	0	24	24	0	3	3	0	4	4	0
22_kado	カド	17	17	0	13	13	0	2	2	0	2	2	0
24_zyoho	カミガタ	59	59	0	48	48	0	6	6	0	5	5	0
24_zyoho	ジョウホウ	41	41	0	32	32	0	4	4	0	5	5	0
25_kinsei	キンセイ	81	81	0	65	65	0	8	8	0	8	8	0
25_kinsei	キンボシ	19	19	0	15	15	0	2	2	0	2	2	0
26_kana	カナ	70	70	0	56	56	0	7	7	0	7	7	0
26_kana	カメイ	30	30	0	24	24	0	3	3	0	3	3	0
27_hitokoto	ヒトコト	90	90	0	72	72	0	9	9	0	9	9	0
27_hitokoto	イチゴン	10	10	0	8	8	0	1	1	0	1	1	0
28_asiato	アシアト	75	75	0	60	60	0	8	8	0	7	7	0
28_asiato	ソクセキ	25	25	0	20	20	0	2	2	0	3	3	0
29_kyo	コンニチ	79	79	0	64	64	0	8	8	0	7	7	0
29_kyo	キョウ	21	21	0	16	16	0	2	2	0	3	3	0
30_ittan	イッタン	90	90	0	72	72	0	9	9	0	9	9	0
30_ittan	イッパシ	10	5	5	8	4	4	1	1	0	1	0	1
31_oya	タイカ	62	62	0	50	50	0	6	6	0	6	6	0
31_oya	オオヤ	38	38	0	30	30	0	4	4	0	4	4	0
33_ikkaku	イッカク	90	90	0	72	72	0	9	9	0	9	9	0
33_ikkaku	ヒトカド	10	10	0	8	8	0	1	1	0	1	1	0
34_ikko	イッコウ	89	89	0	72	72	0	9	9	0	8	8	0
34_ikko	イチギョウ	11	11	0	8	8	0	1	1	0	2	2	0
35_nemoto	コンポン	90	90	0	72	72	0	9	9	0	9	9	0
35_nemoto	ネモト	10	10	0	8	8	0	1	1	0	1	1	0
36_ozei	オオゼイ	90	90	0	72	72	0	9	9	0	9	9	0
36_ozei	タイセイ	10	10	0	8	8	0	1	1	0	1	1	0
37_hantuki	ハンツキ	56	56	0	45	45	0	6	6	0	5	5	0
37_hantuki	ハンゲツ	44	44	0	35	35	0	4	4	0	5	5	0
38_kuroko	クロコ	74	74	0	60	60	0	7	7	0	7	7	0
38_kuroko	ホクロ	16	16	0	12	12	0	2	2	0	2	2	0
38_kuroko	コクシ	10	10	0	8	8	0	1	1	0	1	1	0
39_husya	フウシャ	88	88	0	71	71	0	9	9	0	8	8	0
39_husya	カザグルマ	12	12	0	9	9	0	1	1	0	2	2	0
40_sesuzi	ハイキン	68	68	0	55	55	0	7	7	0	6	6	0
40_sesuzi	セスジ	32	32	0	25	25	0	3	3	0	4	4	0
41_ikebana	セイカ	81	81	0	65	65	0	8	8	0	8	8	0
41_ikebana	イケバナ	19	19	0	15	15	0	2	2	0	2	2	0
42_tyotto	イッスン	66	66	0	53	53	0	7	7	0	6	6	0
42_tyotto	チョット	34	34	0	27	27	0	3	3	0	4	4	0
44_kenbutu	ケンブツ	90	90	0	72	72	0	9	9	0	9	9	0
44_kenbutu	ミモノ	10	10	0	8	8	0	1	1	0	1	1	0
45_hiku	ヒク	85	85	0	68	68	0	9	9	0	8	8	0
45_hiku	ハジク	15	15	0	12	12	0	1	1	0	2	2	0
46_otomo	オトモ	58	58	0	47	47	0	6	6	0	5	5	0
46_otomo	ゴクウ	42	42	0	33	33	0	4	4	0	5	5	0
47_saimoku	サイモク	80	80	0	64	64	0	8	8	0	8	8	0
47_saimoku	ホソメ	20	20	0	16	16	0	2	2	0	2	2	0
48_tousuu	トウスウ	90	90	0	72	72	0	9	9	0	9	9	0
48_tousuu	アタマカズ	10	10	0	8	8	0	1	1	0	1	1	0
49_kazaana	フウケツ	80	80	0	64	64	0	8	8	0	8	8	0
49_kazaana	カザアナ	20	20	0	16	16	0	2	2	0	2	2	0
50_hisui	ヒスイ	90	90	0	72	72	0	9	9	0	9	9	0
50_hisui	カワセミ	10	9	1	8	7	1	1	1	0	1	1	0
51_saityu	サイチュウ	90	90	0	72	72	0	9	9	0	9	9	0
51_saityu	モナカ	10	10	0	8	8	0	1	1	0	1	1	0
52_hosoboso	ホソボソ	87	87	0	70	70	0	9	9	0	8	8	0
52_hosoboso	コマゴマ	13	13	0	10	10	0	1	1	0	2	2	0
53_monogokoro	モノゴコロ	59	59	0	48	48	0	6	6	0	5	5	0
53_monogokoro	ブッシン	41	41	0	32	32	0	4	4	0	5	5	0
